bin	chrom	chromStart	chromEnd	name	length	cpgNum	gcNum	perCpg	perGc	obsExp
1192	chr15	79604886	79605119	CpG: 28	233	28	147	24	63.1	1.26
1211	chr15	82070004	82070309	CpG: 40	305	40	216	26.2	70.8	1.05
1211	chr15	82127653	82128348	CpG: 65	695	65	453	18.7	65.2	0.88
1211	chr15	82146885	82147958	CpG: 118	1073	118	729	22	67.9	0.97
1212	chr15	82207158	82207889	CpG: 65	731	65	491	17.8	67.2	0.81
1192	chr15	79658655	79659420	CpG: 61	765	61	473	15.9	61.8	0.84
1267	chr15	89498706	89500344	CpG: 149	1638	149	988	18.2	60.3	1.01
1268	chr15	89523944	89524282	CpG: 39	338	39	205	23.1	60.7	1.27
1268	chr15	89547660	89548480	CpG: 74	820	74	567	18	69.1	0.77
1268	chr15	89557772	89558421	CpG: 65	649	65	458	20	70.6	0.81
1212	chr15	82211859	82212960	CpG: 127	1101	127	717	23.1	65.1	1.09
1212	chr15	82224180	82224403	CpG: 18	223	18	143	16.1	64.1	0.79
1192	chr15	79670759	79671374	CpG: 67	615	67	422	21.8	68.6	0.93
1192	chr15	79687330	79688220	CpG: 112	890	112	634	25.2	71.2	0.99
1192	chr15	79690759	79691405	CpG: 74	646	74	425	22.9	65.8	1.06
1193	chr15	79742139	79742880	CpG: 92	741	92	482	24.8	65	1.19
1193	chr15	79774227	79774627	CpG: 36	400	36	267	18	66.8	0.81
1212	chr15	82244142	82244794	CpG: 65	652	65	437	19.9	67	0.89
1213	chr15	82338754	82339079	CpG: 36	325	36	223	22.2	68.6	0.95
1213	chr15	82340991	82341413	CpG: 44	422	44	309	20.9	73.2	0.79
1213	chr15	82345859	82346310	CpG: 47	451	47	302	20.8	67	0.95
1213	chr15	82353923	82354675	CpG: 68	752	68	483	18.1	64.2	0.88
1191	chr15	79485324	79485795	CpG: 36	471	36	287	15.3	60.9	0.83
1191	chr15	79505148	79506145	CpG: 97	997	97	610	19.5	61.2	1.04
1221	chr15	83489523	83489733	CpG: 20	210	20	121	19	57.6	1.22
1222	chr15	83510816	83511034	CpG: 27	218	27	145	24.8	66.5	1.15
1266	chr15	89314658	89315550	CpG: 86	892	86	616	19.3	69.1	0.82
1265	chr15	89211299	89211950	CpG: 63	651	63	383	19.4	58.8	1.13
1222	chr15	83555241	83555754	CpG: 64	513	64	379	25	73.9	0.92
1187	chr15	79027892	79028861	CpG: 97	969	97	667	20	68.8	0.85
1187	chr15	79030544	79031116	CpG: 49	572	49	361	17.1	63.1	0.87
1188	chr15	79108814	79109661	CpG: 86	847	86	532	20.3	62.8	1.03
1188	chr15	79140843	79141472	CpG: 58	629	58	396	18.4	63	0.93
1188	chr15	79163248	79163951	CpG: 63	703	63	450	17.9	64	0.88
1222	chr15	83594689	83595267	CpG: 59	578	59	378	20.4	65.4	0.96
1188	chr15	79042665	79043393	CpG: 102	728	102	518	28	71.2	1.13
1208	chr15	81745014	81745344	CpG: 37	330	37	211	22.4	63.9	1.1
1208	chr15	81745743	81746031	CpG: 27	288	27	198	18.8	68.8	0.83
1208	chr15	81771790	81772012	CpG: 20	222	20	153	18	68.9	0.84
1208	chr15	81729285	81730210	CpG: 84	925	84	591	18.2	63.9	0.89
1188	chr15	79075135	79075494	CpG: 42	359	42	248	23.4	69.1	0.98
1223	chr15	83724482	83725238	CpG: 92	756	92	543	24.3	71.8	0.94
1188	chr15	79062396	79062972	CpG: 75	576	75	408	26	70.8	1.05
1209	chr15	81810601	81811771	CpG: 103	1170	103	736	17.6	62.9	0.89
1209	chr15	81856168	81856385	CpG: 16	217	16	132	14.7	60.8	0.81
1209	chr15	81857785	81858553	CpG: 63	768	63	489	16.4	63.7	0.81
1209	chr15	81859067	81859271	CpG: 21	204	21	135	20.6	66.2	0.94
1209	chr15	81859644	81859877	CpG: 18	233	18	126	15.5	54.1	1.1
1209	chr15	81872316	81872762	CpG: 39	446	39	285	17.5	63.9	0.86
1210	chr15	81925826	81926377	CpG: 50	551	50	372	18.1	67.5	0.8
1266	chr15	89355317	89356036	CpG: 56	719	56	465	15.6	64.7	0.75
1226	chr15	84105448	84105929	CpG: 55	481	55	315	22.9	65.5	1.07
1227	chr15	84192062	84192488	CpG: 37	426	37	283	17.4	66.4	0.8
1227	chr15	84167757	84168291	CpG: 49	534	49	352	18.4	65.9	0.85
1227	chr15	84231912	84232333	CpG: 42	421	42	300	20	71.3	0.79
1189	chr15	79251864	79252763	CpG: 84	899	84	611	18.7	68	0.81
1266	chr15	89373511	89374175	CpG: 68	664	68	440	20.5	66.3	0.93
1266	chr15	89378613	89379158	CpG: 45	545	45	360	16.5	66.1	0.76
1189	chr15	79261072	79262022	CpG: 89	950	89	658	18.7	69.3	0.79
1189	chr15	79270428	79270640	CpG: 20	212	20	143	18.9	67.5	0.83
1190	chr15	79347309	79348233	CpG: 90	924	90	600	19.5	64.9	0.94
1190	chr15	79357313	79357816	CpG: 62	503	62	331	24.7	65.8	1.16
1190	chr15	79328245	79328489	CpG: 24	244	24	162	19.7	66.4	0.9
1267	chr15	89410048	89410386	CpG: 29	338	29	231	17.2	68.3	0.74
1190	chr15	79402817	79403450	CpG: 80	633	80	461	25.3	72.8	0.96
1267	chr15	89453649	89454326	CpG: 61	677	61	433	18	64	0.92
1267	chr15	89457315	89457978	CpG: 45	663	45	431	13.6	65	0.65
1210	chr15	82015897	82016579	CpG: 69	682	69	461	20.2	67.6	0.91
1239	chr15	85734824	85736079	CpG: 120	1255	120	887	19.1	70.7	0.77
1239	chr15	85811149	85811955	CpG: 58	806	58	499	14.4	61.9	0.78
1239	chr15	85821436	85821894	CpG: 56	458	56	346	24.5	75.5	0.86
1239	chr15	85832229	85832474	CpG: 21	245	21	152	17.1	62	0.94
1240	chr15	85859679	85860044	CpG: 36	365	36	239	19.7	65.5	0.93
1197	chr15	80287124	80288381	CpG: 102	1257	102	725	16.2	57.7	0.98
1198	chr15	80372166	80372656	CpG: 37	490	37	330	15.1	67.3	0.67
1193	chr15	79803781	79804965	CpG: 139	1184	139	790	23.5	66.7	1.06
1194	chr15	79828604	79829021	CpG: 36	417	36	278	17.3	66.7	0.79
1194	chr15	79834017	79834501	CpG: 54	484	54	323	22.3	66.7	1
1228	chr15	84406549	84406755	CpG: 15	206	15	127	14.6	61.7	0.77
1229	chr15	84446017	84446399	CpG: 49	382	49	289	25.7	75.7	0.94
1200	chr15	80671431	80672139	CpG: 66	708	66	476	18.6	67.2	0.83
1240	chr15	85878996	85879453	CpG: 45	457	45	307	19.7	67.2	0.87
1230	chr15	84557416	84557876	CpG: 52	460	52	327	22.6	71.1	0.9
1231	chr15	84680904	84681714	CpG: 89	810	89	580	22	71.6	0.86
1200	chr15	80710963	80712149	CpG: 130	1186	130	793	21.9	66.9	1.03
1194	chr15	79927777	79928048	CpG: 24	271	24	181	17.7	66.8	0.79
1194	chr15	79932385	79932801	CpG: 57	416	57	306	27.4	73.6	1.02
1194	chr15	79933429	79933638	CpG: 17	209	17	131	16.3	62.7	0.84
1240	chr15	85978642	85979038	CpG: 30	396	30	242	15.2	61.1	0.83
1241	chr15	86031208	86031677	CpG: 35	469	35	284	14.9	60.6	0.82
1241	chr15	86032465	86034199	CpG: 163	1734	163	1085	18.8	62.6	0.96
1241	chr15	86058486	86059218	CpG: 105	732	105	521	28.7	71.2	1.14
1195	chr15	80001637	80001856	CpG: 20	219	20	145	18.3	66.2	0.84
1195	chr15	80012334	80014805	CpG: 179	2471	179	1505	14.5	60.9	0.78
1242	chr15	86185289	86185821	CpG: 60	532	60	357	22.6	67.1	1.01
1195	chr15	80083159	80083585	CpG: 36	426	36	237	16.9	55.6	1.09
1196	chr15	80091111	80091883	CpG: 67	772	67	466	17.4	60.4	0.95
1242	chr15	86213884	86214718	CpG: 75	834	75	540	18	64.7	0.86
1202	chr15	80948113	80948758	CpG: 52	645	52	395	16.1	61.2	0.86
